PORTFOLIO DELTAs,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FX Exposure,,,,,USD Bumps,,,,,,,,,,,
,,,,,-5%,,,-1%,,,1%,,,5%,,
,,Notional (USD Equiv),Gamma,Vega,Delta,Gamma,Vega,Delta,Gamma,Vega,Delta,Gamma,Vega,Delta,Gamma,Vega
ARS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRL,,"44,083,597","972,119","11,069","47,758,427","-2,979,404","-42,815","45,461,208","1,165,039","12,665","42,978,259","692,945","8,416","40,694,890","99,244","1,360"
CLP,,"-24,929,368",0,0,"-24,929,368",0,0,"-24,929,368",0,0,"-24,929,368",0,0,"-24,929,368",0,0
COP,,"-208,762","398,577",646,"-10,929,545","-4,840,969","-17,967","1,071,013","2,426,712","1,011","-328,919","87,203","1,051","-737,816","34,141",177
MXN,,"-16,048,880","948,600","43,509","26,773,686","12,865,649","234,532","-13,287,953","4,035,024","89,417","-15,282,063","-2,690,554","3,534","5,023,584","-4,830,551","-42,843"
,,,,,,,,,,,,,,,,
LATAM TOTAL,,"2,896,588","2,319,296","55,223","38,673,201","5,045,276","173,750","8,314,899","7,626,775","103,093","2,437,909","-1,910,405","13,000","20,051,290","-4,697,165","-41,306"
IDR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INR,,"-355,274",0,0,"-355,274",0,0,"-355,274",0,0,"-355,274",0,0,"-355,274",0,0
KRW,,"-28,118,287","-582,036","-55,347","-22,392,724","517,745","-41,778","-27,852,805","654,561","-46,869","-32,394,988","2,200,170","-69,339","-24,823,772","-4,054,490","-102,391"
MYR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
ASIA TOTAL,,"-28,473,561","-582,036","-55,347","-22,747,997","517,745","-41,778","-28,208,078","654,561","-46,869","-32,750,262","2,200,170","-69,339","-25,179,045","-4,054,490","-102,391"
BYR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZK,,"-262,870",0,0,"-262,870",0,0,"-262,870",0,0,"-262,870",0,0,"-262,870",0,0
ILS,,"-40,386,481","5,196,378","40,377","-34,877,557","-6,312,099","-112,056","-35,445,705","5,280,713","42,405","-44,662,861","4,291,666","19,858","-39,068,048","-6,424,162","-135,954"
PLN,,"-471,914",0,0,"-471,914",0,0,"-471,914",0,0,"-471,914",0,0,"-471,914",0,0
RUB,,"-1,352,270","-707,946","-12,785","-19,693,267","22,795,838","-40,337","-2,817,609","-2,439,800","-19,220","-955,611","-230,202","-8,962","-562,098","-45,796","-2,132"
HUF,,"660,559","2,534,984",-6,"-16,203,429","-23,059,563","-18,566","3,647,004","3,188,186",-108,"-1,652,742","1,973,176",-0,"-6,755,425","697,065",0
NGN,,"35,066,940",0,0,"35,066,940",0,0,"35,066,940",0,0,"35,066,940",0,0,"35,066,940",0,0
TRY,,"-521,458","833,922","78,982","-1,725,188","-9,634,344","113,454","455,807","1,000,972","86,954","-1,358,590","735,597","71,383","-3,806,842","450,937","44,180"
UAH,,"-2,595,975",0,0,"-2,595,975",0,0,"-2,595,975",0,0,"-2,595,975",0,0,"-2,595,975",0,0
ZAR,,"-3,710,246","549,417","26,280","-10,912,967","-14,321,492","54,819","-2,422,453","672,411","32,674","-4,851,556","425,006","20,908","-8,388,556","144,931","7,659"
,,,,,,,,,,,,,,,,
CEEMEA TOTAL,,"-13,573,715","8,406,755","132,848","-51,676,227","-30,531,660","-2,686","-4,846,775","7,702,482","142,705","-21,745,180","7,195,244","103,187","-26,844,789","-5,177,026","-86,247"
EM TOTAL,,"-39,150,687","10,144,015","132,724","-35,751,024","-24,968,639","129,285","-24,739,954","15,983,818","198,928","-52,057,533","7,485,008","46,848","-31,972,545","-13,928,681","-229,943"
AUD,,"14,331",,,,,,,,,,,,,,
JPY,,0,,,,,,,,,,,,,,
EUR,,"-1,237,718",,,,,,,,,,,,,,
G7 TOTAL,,"-1,237,718",,,,,,,,,,,,,,
